username,repo_name,stars,repo_url
localstack,localstack,34000,https://github.com/localstack/localstack
drone,drone,23800,https://github.com/drone/drone
jenkinsci,jenkins,17800,https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,12000,https://github.com/auchenberg/volkswagen
openshift,origin,8000,https://github.com/openshift/origin
gocd,gocd,6200,https://github.com/gocd/gocd
concourse,concourse,5900,https://github.com/concourse/concourse
buildbot,buildbot,4700,https://github.com/buildbot/buildbot
Strider-CD,strider,4500,https://github.com/Strider-CD/strider
theonedev,onedev,4500,https://github.com/theonedev/onedev
gaia-pipeline,gaia,4500,https://github.com/gaia-pipeline/gaia
jenkins-x,jx,4000,https://github.com/jenkins-x/jx
xcpretty,xcpretty,3600,https://github.com/xcpretty/xcpretty
hygieia,hygieia,3600,https://github.com/hygieia/hygieia
ovh,cds,3600,https://github.com/ovh/cds
cake-build,cake,3000,https://github.com/cake-build/cake
ligurio,awesome-ci,2700,https://github.com/ligurio/awesome-ci
werf,werf,2600,https://github.com/werf/werf
dancryer,PHPCI,2400,https://github.com/dancryer/PHPCI
tox-dev,tox,2400,https://github.com/tox-dev/tox
TheLartians,ModernCppStarter,2100,https://github.com/TheLartians/ModernCppStarter
dreamans,syncd,2000,https://github.com/dreamans/syncd
houndci,hound,1900,https://github.com/houndci/hound
fabric8io,fabric8,1800,https://github.com/fabric8io/fabric8
shivammathur,setup-php,1800,https://github.com/shivammathur/setup-php
lastbackend,lastbackend,1500,https://github.com/lastbackend/lastbackend
nuke-build,nuke,1300,https://github.com/nuke-build/nuke
FlowCI,flow-core-x,1200,https://github.com/FlowCI/flow-core-x
japaric,trust,1100,https://github.com/japaric/trust
k1LoW,tbls,1100,https://github.com/k1LoW/tbls
