username,repo_name,stars,repo_url
metafizzy,infinite-scroll,6900,https://github.com/metafizzy/infinite-scroll
ljianshu,Blog,6700,https://github.com/ljianshu/Blog
developit,unfetch,5200,https://github.com/developit/unfetch
jquery-form,form,5100,https://github.com/jquery-form/form
Studio-42,elFinder,4100,https://github.com/Studio-42/elFinder
olifolkerd,tabulator,4100,https://github.com/olifolkerd/tabulator
ded,reqwest,2900,https://github.com/ded/reqwest
dwyl,learn-to-send-email-via-google-script-html-no-server,2600,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server
LeaVerou,bliss,2300,https://github.com/LeaVerou/bliss
elbywan,wretch,2200,https://github.com/elbywan/wretch
noelboss,featherlight,2000,https://github.com/noelboss/featherlight
wendux,Ajax-hook,1800,https://github.com/wendux/Ajax-hook
craftpip,jquery-confirm,1800,https://github.com/craftpip/jquery-confirm
ptaoussanis,sente,1600,https://github.com/ptaoussanis/sente
yisainan,web-interview,1600,https://github.com/yisainan/web-interview
joaomilho,Enterprise,1500,https://github.com/joaomilho/Enterprise
nette,tracy,1400,https://github.com/nette/tracy
u014427391,jeeplatform,1300,https://github.com/u014427391/jeeplatform
MoOx,pjax,1200,https://github.com/MoOx/pjax
loadingio,css-spinner,1100,https://github.com/loadingio/css-spinner
codingforentrepreneurs,eCommerce,1100,https://github.com/codingforentrepreneurs/eCommerce
danielm,uploader,1100,https://github.com/danielm/uploader
renderedtext,render_async,1000,https://github.com/renderedtext/render_async
swlib,saber,916,https://github.com/swlib/saber
webcreate,infinite-ajax-scroll,826,https://github.com/webcreate/infinite-ajax-scroll
opensource-socialnetwork,opensource-socialnetwork,780,https://github.com/opensource-socialnetwork/opensource-socialnetwork
proyecto26,RestClient,779,https://github.com/proyecto26/RestClient
rapidjs,rapid.js,705,https://github.com/rapidjs/rapid.js
csxiaoyaojianxian,JavaScriptStudy,561,https://github.com/csxiaoyaojianxian/JavaScriptStudy
cferdinandi,atomic,531,https://github.com/cferdinandi/atomic
